vendor,current_price,old_price,product_name,month
Metro,9.99,10.99,Organic Plant-Based Oat Beverage,7
Metro,9.99,10.99,Organic Plant-Based Oat Beverage,7
Metro,9.99,10.99,Organic Plant-Based Oat Beverage,7
Metro,9.99,10.99,Organic Plant-Based Oat Beverage,7
Metro,3.4899999999999998,4.49,Unsweetened Vanilla Flavoured Fortified Organic Almo...,7
Metro,3.4899999999999998,4.49,Unsweetened Vanilla Flavoured Fortified Organic Almo...,7
Metro,3.4899999999999998,4.49,Unsweetened Vanilla Flavoured Fortified Organic Almo...,7
Metro,3.4899999999999998,4.49,Unsweetened Vanilla Flavoured Fortified Organic Almo...,7
Metro,3.4899999999999998,4.49,Unsweetened Vanilla Flavoured Fortified Organic Almo...,7
Metro,3.4899999999999998,4.49,Unsweetened Vanilla Flavoured Fortified Organic Almo...,7
Metro,3.4899999999999998,4.49,Unsweetened Vanilla Flavoured Fortified Organic Almo...,7
Metro,3.4899999999999998,4.49,Unsweetened Vanilla Flavoured Fortified Organic Almo...,7
Metro,3.4899999999999998,4.49,Unsweetened Vanilla Flavoured Fortified Organic Almo...,7
Metro,3.4899999999999998,4.49,Unsweetened Vanilla Flavoured Fortified Organic Almo...,7
Metro,3.4899999999999998,4.49,Unsweetened Vanilla Flavoured Fortified Organic Almo...,7
Metro,3.4899999999999998,4.49,Unsweetened Vanilla Flavoured Fortified Organic Almo...,7
Metro,3.4899999999999998,4.49,Unsweetened Vanilla Flavoured Fortified Organic Almo...,7
Metro,3.4899999999999998,4.49,Unsweetened Vanilla Flavoured Fortified Organic Almo...,8
Metro,3.4899999999999998,4.49,Unsweetened Vanilla Flavoured Fortified Organic Almo...,8
Metro,3.4899999999999998,4.49,Unsweetened Vanilla Flavoured Fortified Organic Almo...,8
Metro,3.4899999999999998,4.49,Unsweetened Vanilla Flavoured Fortified Organic Almo...,8
Metro,3.4899999999999998,4.49,Unsweetened Vanilla Flavoured Fortified Organic Almo...,8
Metro,3.4899999999999998,4.49,Unsweetened Vanilla Flavoured Fortified Organic Almo...,8
